,buying,maint,doors,persons,lug_boot,safety,class,color
0,vhigh,vhigh,2,2,small,low,unacc,2.78924725286608
1,vhigh,vhigh,2,2,small,med,unacc,0.022714431712306027
2,vhigh,vhigh,2,2,small,high,unacc,0.9490632217206287
3,vhigh,vhigh,2,2,med,low,unacc,1.3606907951677476
4,vhigh,vhigh,2,2,med,med,unacc,1.3430849270516623
5,vhigh,vhigh,2,2,med,high,unacc,3.9297036196351085
6,vhigh,vhigh,2,2,big,low,unacc,0.030834931876571048
7,vhigh,vhigh,2,2,big,med,unacc,3.9777986393020144
8,vhigh,vhigh,2,2,big,high,unacc,1.5507383623645756
9,vhigh,vhigh,2,4,small,low,unacc,2.822539716767048
10,vhigh,vhigh,2,4,small,med,unacc,2.4320912764159672
11,vhigh,vhigh,2,4,small,high,unacc,2.9600855550129883
12,vhigh,vhigh,2,4,med,low,unacc,0.04001769387876131
13,vhigh,vhigh,2,4,med,med,unacc,2.881362197500411
14,vhigh,vhigh,2,4,med,high,unacc,0.6725358419223966
15,vhigh,vhigh,2,4,big,low,unacc,2.888582871839699
16,vhigh,vhigh,2,4,big,med,unacc,3.604664692019416
17,vhigh,vhigh,2,4,big,high,unacc,3.8033559783672413
18,vhigh,vhigh,2,more,small,low,unacc,2.3285749701410525
19,vhigh,vhigh,2,more,small,med,unacc,0.3562097205864241
20,vhigh,vhigh,2,more,small,high,unacc,0.561225351557507
21,vhigh,vhigh,2,more,med,low,unacc,1.7451551382180535
22,vhigh,vhigh,2,more,med,med,unacc,1.386001161005276
23,vhigh,vhigh,2,more,med,high,unacc,0.9231101021120276
24,vhigh,vhigh,2,more,big,low,unacc,0.5990721964515693
25,vhigh,vhigh,2,more,big,med,unacc,2.350255011965001
26,vhigh,vhigh,2,more,big,high,unacc,3.2284112702057453
27,vhigh,vhigh,3,2,small,low,unacc,2.4695985115112076
28,vhigh,vhigh,3,2,small,med,unacc,2.966852125131812
29,vhigh,vhigh,3,2,small,high,unacc,3.94789505611377
30,vhigh,vhigh,3,2,med,low,unacc,0.6527148215801768
31,vhigh,vhigh,3,2,med,med,unacc,2.6698616399144854
32,vhigh,vhigh,3,2,med,high,unacc,1.837827138813085
33,vhigh,vhigh,3,2,big,low,unacc,3.1274988495926794
34,vhigh,vhigh,3,2,big,med,unacc,0.5323675862510941
35,vhigh,vhigh,3,2,big,high,unacc,1.3826340959160728
36,vhigh,vhigh,3,4,small,low,unacc,2.607186810990635
37,vhigh,vhigh,3,4,small,med,unacc,1.240437455751871
38,vhigh,vhigh,3,4,small,high,unacc,0.526401453511621
39,vhigh,vhigh,3,4,med,low,unacc,0.45045363825311435
40,vhigh,vhigh,3,4,med,med,unacc,0.5170979818818005
41,vhigh,vhigh,3,4,med,high,unacc,3.40491333197886
42,vhigh,vhigh,3,4,big,low,unacc,1.5320582202870523
43,vhigh,vhigh,3,4,big,med,unacc,3.935805293612544
44,vhigh,vhigh,3,4,big,high,unacc,3.0091273860674246
45,vhigh,vhigh,3,more,small,low,unacc,0.9427559907566336
46,vhigh,vhigh,3,more,small,med,unacc,0.6420067565919543
47,vhigh,vhigh,3,more,small,high,unacc,0.4968310673510472
48,vhigh,vhigh,3,more,med,low,unacc,3.7493905786989483
49,vhigh,vhigh,3,more,med,med,unacc,0.2941183984918463
50,vhigh,vhigh,3,more,med,high,unacc,1.7905704717456379
51,vhigh,vhigh,3,more,big,low,unacc,3.7151125092882897
52,vhigh,vhigh,3,more,big,med,unacc,2.128934681999033
53,vhigh,vhigh,3,more,big,high,unacc,0.46206959116464397
54,vhigh,vhigh,4,2,small,low,unacc,0.7936645606582506
55,vhigh,vhigh,4,2,small,med,unacc,0.1456554684068636
56,vhigh,vhigh,4,2,small,high,unacc,2.737664035622811
57,vhigh,vhigh,4,2,med,low,unacc,0.4456492225701467
58,vhigh,vhigh,4,2,med,med,unacc,2.9044532309864683
59,vhigh,vhigh,4,2,med,high,unacc,1.567509474454332
60,vhigh,vhigh,4,2,big,low,unacc,2.2495105906618806
61,vhigh,vhigh,4,2,big,med,unacc,0.8755929405226133
62,vhigh,vhigh,4,2,big,high,unacc,0.21360271165434908
63,vhigh,vhigh,4,4,small,low,unacc,3.610789091106442
64,vhigh,vhigh,4,4,small,med,unacc,2.8857592767049702
65,vhigh,vhigh,4,4,small,high,unacc,1.9938159809620872
66,vhigh,vhigh,4,4,med,low,unacc,1.2469463555203788
67,vhigh,vhigh,4,4,med,med,unacc,0.6398982623077454
68,vhigh,vhigh,4,4,med,high,unacc,0.3782027507783807
69,vhigh,vhigh,4,4,big,low,unacc,2.4566103395991914
70,vhigh,vhigh,4,4,big,med,unacc,1.2716122028641625
71,vhigh,vhigh,4,4,big,high,unacc,2.7420092151889377
72,vhigh,vhigh,4,more,small,low,unacc,1.52943055158623
73,vhigh,vhigh,4,more,small,med,unacc,0.8695383691659737
74,vhigh,vhigh,4,more,small,high,unacc,2.953542120680565
75,vhigh,vhigh,4,more,med,low,unacc,2.0151953439188905
76,vhigh,vhigh,4,more,med,med,unacc,0.7620806138451548
77,vhigh,vhigh,4,more,med,high,unacc,1.2679211413002078
78,vhigh,vhigh,4,more,big,low,unacc,0.7316307424944162
79,vhigh,vhigh,4,more,big,med,unacc,1.646722729079377
80,vhigh,vhigh,4,more,big,high,unacc,3.382369567619334
81,vhigh,vhigh,5more,2,small,low,unacc,2.986432452397282
82,vhigh,vhigh,5more,2,small,med,unacc,0.9449959578905047
83,vhigh,vhigh,5more,2,small,high,unacc,3.5068242312543383
84,vhigh,vhigh,5more,2,med,low,unacc,3.8061154542791074
85,vhigh,vhigh,5more,2,med,med,unacc,3.3261586078275855
86,vhigh,vhigh,5more,2,med,high,unacc,2.8203087570829477
87,vhigh,vhigh,5more,2,big,low,unacc,0.2986879388254149
88,vhigh,vhigh,5more,2,big,med,unacc,0.6825722905775375
89,vhigh,vhigh,5more,2,big,high,unacc,2.8074908926089415
90,vhigh,vhigh,5more,4,small,low,unacc,0.9459891577776443
91,vhigh,vhigh,5more,4,small,med,unacc,0.4859867903091648
92,vhigh,vhigh,5more,4,small,high,unacc,3.2547389853672515
93,vhigh,vhigh,5more,4,med,low,unacc,1.1615176108150815
94,vhigh,vhigh,5more,4,med,med,unacc,3.964798050238609
95,vhigh,vhigh,5more,4,med,high,unacc,2.2426761093461716
96,vhigh,vhigh,5more,4,big,low,unacc,1.164699079488975
97,vhigh,vhigh,5more,4,big,med,unacc,0.18923879213222516
98,vhigh,vhigh,5more,4,big,high,unacc,2.358577365195292
99,vhigh,vhigh,5more,more,small,low,unacc,3.731870733576753
100,vhigh,vhigh,5more,more,small,med,unacc,0.99925270716431
101,vhigh,vhigh,5more,more,small,high,unacc,1.205554111836895
102,vhigh,vhigh,5more,more,med,low,unacc,0.07416988158969229
103,vhigh,vhigh,5more,more,med,med,unacc,0.8261917149471563
104,vhigh,vhigh,5more,more,med,high,unacc,0.4880419832364007
105,vhigh,vhigh,5more,more,big,low,unacc,3.7700475583756905
106,vhigh,vhigh,5more,more,big,med,unacc,2.3824987170563445
107,vhigh,vhigh,5more,more,big,high,unacc,0.6863640940833
108,vhigh,high,2,,small,low,unacc,1.3137556791236262
109,vhigh,high,2,2,small,med,unacc,2.386689025580611
110,vhigh,high,2,2,small,high,unacc,1.4027035418737817
111,vhigh,high,2,2,med,low,unacc,2.690777731155281
112,vhigh,high,2,2,med,med,unacc,3.940453536018081
113,vhigh,high,2,2,med,high,unacc,1.5313580449167565
114,vhigh,high,2,2,big,low,unacc,2.0970411180418354
115,vhigh,high,2,2,big,med,unacc,1.0919641120366461
116,vhigh,high,2,2,big,high,unacc,3.619624442859364
117,vhigh,high,2,4,small,low,unacc,3.4155173552751834
118,vhigh,high,2,4,small,med,unacc,2.4132799681584207
119,vhigh,high,2,4,small,high,unacc,2.2914131402403943
120,vhigh,high,2,4,med,low,unacc,2.7618284570334377
121,vhigh,high,2,4,med,med,unacc,2.896326673574253
122,vhigh,high,2,4,med,high,unacc,2.257630563473758
123,vhigh,high,2,4,big,low,unacc,3.835347543407385
124,vhigh,high,2,4,big,med,unacc,0.11207878311860453
125,vhigh,high,2,4,big,high,unacc,0.3127079984175918
126,vhigh,high,2,more,small,low,unacc,0.13173562288004526
127,vhigh,high,2,more,small,med,unacc,2.7273576789114857
128,vhigh,high,2,more,small,high,unacc,0.7838384153275553
129,vhigh,high,2,more,med,low,unacc,2.9670474295386913
130,vhigh,high,2,more,med,med,unacc,0.8253682641852711
131,vhigh,high,2,more,med,high,unacc,2.0480578589142535
132,vhigh,high,2,more,big,low,unacc,3.006660698484743
133,vhigh,high,2,more,big,med,unacc,0.20801504012512195
134,vhigh,high,2,more,big,high,unacc,3.8146171259801425
135,vhigh,high,3,2,small,low,unacc,1.1231851990345492
136,vhigh,high,3,2,small,med,unacc,2.0160265620363713
137,vhigh,high,3,2,small,high,unacc,2.9526597615212755
138,vhigh,high,3,2,med,low,unacc,2.0646071368669583
139,vhigh,high,3,2,med,med,unacc,0.6500426672140032
140,vhigh,high,3,2,med,high,unacc,1.925507465409153
141,vhigh,high,3,2,big,low,unacc,2.350424694212313
142,vhigh,high,3,2,big,med,unacc,2.4489358796635274
143,vhigh,high,3,2,big,high,unacc,1.3803362406990463
144,vhigh,high,3,4,small,low,unacc,1.395412095395018
145,vhigh,high,3,4,small,med,unacc,2.3200136037705477
146,vhigh,high,3,4,small,high,unacc,3.0099132351074505
147,vhigh,high,3,4,med,low,unacc,1.0420005800636387
148,vhigh,high,3,4,med,med,unacc,1.2798944678056001
149,vhigh,high,3,4,med,high,unacc,1.7567084861897024
150,vhigh,high,3,4,big,low,unacc,1.496639517829967
151,vhigh,high,3,4,big,med,unacc,2.9616204493597134
152,vhigh,high,3,4,big,high,unacc,2.5285898310305943
153,vhigh,high,3,more,small,low,unacc,3.0740340849920655
154,vhigh,high,3,more,small,med,unacc,3.3012363215889624
155,vhigh,high,3,more,small,high,unacc,1.8688568752520198
156,vhigh,high,3,more,med,low,unacc,1.225494591629305
157,vhigh,high,3,more,med,med,unacc,3.0146921090601193
158,vhigh,high,3,more,med,high,unacc,0.5036655201787923
159,vhigh,high,3,more,big,low,unacc,0.20533034394997163
160,vhigh,high,3,more,big,med,unacc,2.7952567890739544
161,vhigh,high,3,more,big,high,unacc,0.40053449258778695
162,vhigh,high,4,2,small,low,unacc,2.001434050008678
163,vhigh,high,4,2,small,med,,1.8107674020200029
164,vhigh,high,4,2,small,high,unacc,0.34759166090985216
165,vhigh,high,4,2,med,low,unacc,3.0281720782133594
166,vhigh,high,4,2,med,med,unacc,2.4176788613139624
167,vhigh,high,4,2,med,high,unacc,2.6993076832109266
168,,high,4,,big,low,unacc,0.603322074184161
169,vhigh,high,4,2,big,med,unacc,1.9290341914692024
170,vhigh,high,4,2,big,high,unacc,0.74615900920656
171,vhigh,high,4,4,small,low,unacc,2.5257341876809933
172,vhigh,high,4,4,small,med,unacc,2.7606241642062628
173,vhigh,high,4,4,small,high,unacc,0.7900778623073244
174,vhigh,high,4,4,med,low,unacc,3.4684978537367637
175,vhigh,high,4,4,med,med,unacc,1.6487572689029757
176,vhigh,high,4,4,med,high,unacc,2.9342425130955365
177,vhigh,high,4,4,big,low,unacc,3.8339216823153794
178,vhigh,high,4,4,big,med,unacc,2.9364135700361276
179,vhigh,high,4,4,big,high,unacc,2.205767919548512
180,vhigh,high,4,more,small,low,unacc,3.277341113569535
181,vhigh,high,4,more,small,med,unacc,1.8149323321589628
182,vhigh,high,4,more,small,high,unacc,3.67188844990808
183,vhigh,high,4,more,med,low,unacc,3.0232654833469534
184,vhigh,high,4,more,med,med,unacc,0.8836625071959512
185,vhigh,high,4,more,med,high,unacc,2.705984642785326
186,vhigh,high,4,more,big,low,unacc,2.1250337792845184
187,vhigh,high,4,more,big,med,unacc,1.9491719054992651
188,vhigh,high,4,more,big,high,unacc,0.7671104107135682
189,vhigh,high,5more,2,small,low,unacc,0.9158893246893172
190,vhigh,high,5more,2,small,med,unacc,3.8010249680115367
191,vhigh,high,5more,2,small,high,unacc,1.4742337818771953
192,vhigh,high,5more,2,med,low,unacc,3.1205540980364335
193,vhigh,high,5more,2,med,med,unacc,1.396605754237639
194,vhigh,high,5more,2,med,high,unacc,2.704677739184578
195,vhigh,high,5more,2,big,low,unacc,0.11796226414396171
196,vhigh,high,5more,2,big,med,unacc,2.421786518196301
197,vhigh,high,5more,2,big,high,unacc,1.5177063233920074
198,vhigh,high,5more,4,small,low,unacc,0.32879909654647754
199,vhigh,high,5more,4,small,med,unacc,2.593015264859499
200,vhigh,high,5more,4,small,high,unacc,3.047895663097377
201,vhigh,high,5more,4,med,low,unacc,0.8069641408458597
202,vhigh,high,5more,4,med,med,unacc,2.2277699210967783
203,vhigh,high,5more,4,med,high,unacc,0.4092521849306303
204,vhigh,high,5more,4,big,low,unacc,3.980592468362908
205,vhigh,high,5more,4,big,med,unacc,3.2840488724651045
206,vhigh,high,5more,4,big,high,unacc,3.8891919070728136
207,vhigh,high,5more,more,small,low,unacc,3.094894528287864
208,vhigh,high,5more,more,small,med,unacc,1.1619453158735498
209,vhigh,high,5more,more,small,high,unacc,0.7147592298725254
210,vhigh,high,5more,more,med,low,unacc,2.773847007368441
211,vhigh,high,5more,more,med,med,unacc,3.532449561003228
212,vhigh,high,5more,more,med,high,unacc,2.1276530714145303
213,vhigh,high,5more,more,big,low,unacc,0.0416059465731049
214,vhigh,high,5more,more,big,med,unacc,3.7261964430526553
215,vhigh,high,5more,more,big,high,unacc,1.0111824062125123
216,vhigh,med,2,2,small,low,unacc,1.1146039563764174
217,vhigh,med,2,2,small,med,unacc,2.5681666442833575
218,vhigh,med,2,2,small,high,unacc,3.2395556872285067
219,vhigh,med,2,2,med,low,unacc,3.0033698386586742
220,vhigh,med,2,2,med,med,unacc,3.6725758981285397
221,vhigh,med,2,2,med,high,unacc,2.8033693083819426
222,vhigh,med,2,2,big,low,unacc,3.219633558453148
223,vhigh,med,2,2,big,med,unacc,1.4171241672536081
224,vhigh,med,2,2,big,high,unacc,1.6003262802791798
225,vhigh,med,2,4,small,low,unacc,2.2526872452690867
226,vhigh,med,2,4,small,med,unacc,0.5714219019548619
227,vhigh,med,2,4,small,high,acc,1.4161784854100383
228,vhigh,med,2,4,med,low,unacc,1.058376812562162
229,vhigh,med,2,4,med,med,unacc,1.4324446525779373
230,vhigh,med,2,4,med,high,acc,2.338620507495727
231,vhigh,med,2,4,big,low,unacc,2.2293246381661938
232,vhigh,med,2,4,big,med,acc,2.137122443098959
233,vhigh,med,2,4,big,high,acc,2.9261376754705735
234,vhigh,med,2,more,small,low,unacc,3.018037504351065
235,vhigh,med,2,more,small,med,unacc,3.6609386961776154
236,vhigh,med,2,more,small,high,unacc,3.4798115352720145
237,vhigh,med,2,more,med,low,unacc,3.1603096673451376
238,vhigh,med,2,more,med,med,unacc,1.1841066657183972
239,vhigh,med,2,more,med,high,acc,0.05945833318265992
240,vhigh,med,2,more,big,low,unacc,3.33986531261564
241,vhigh,med,2,more,big,med,acc,1.167228718426128
242,vhigh,,2,more,big,high,acc,2.9477063732431876
243,vhigh,med,3,2,small,low,unacc,3.9131249717098218
244,vhigh,med,3,2,small,med,unacc,0.2516270008732908
245,vhigh,med,3,2,small,high,unacc,0.560040908457319
246,vhigh,med,3,2,med,low,unacc,2.6703398324987324
247,vhigh,med,3,2,med,med,unacc,0.6815045155589932
248,vhigh,med,3,2,med,high,unacc,0.14292937483669643
249,vhigh,med,3,2,big,low,unacc,2.679435219096614
250,vhigh,med,3,2,big,med,unacc,3.6378767246527266
251,vhigh,med,3,2,big,high,unacc,3.929881002809778
252,vhigh,med,3,4,small,low,unacc,1.1052841176201968
253,vhigh,med,3,4,small,med,unacc,0.5733085203377621
254,vhigh,med,3,4,small,high,acc,2.690345565614505
255,vhigh,med,3,4,med,low,unacc,1.7814330014078341
256,vhigh,med,3,4,med,med,unacc,3.775293756673664
257,vhigh,med,3,4,med,high,acc,1.6695519034101935
258,vhigh,med,3,4,big,low,unacc,1.3493150643065719
259,vhigh,med,3,4,big,med,acc,1.8456195291891135
260,vhigh,med,3,4,big,high,acc,2.8314790959325036
261,vhigh,med,3,more,small,low,unacc,1.2425861143149812
262,vhigh,med,3,more,small,med,unacc,2.4101998578602974
263,vhigh,med,3,more,small,high,acc,0.7791793514484215
264,vhigh,med,3,more,med,low,unacc,2.456604016884966
265,vhigh,med,3,more,med,med,acc,1.4577837320891747
266,vhigh,med,3,more,med,high,acc,0.6876498471774783
267,vhigh,med,3,more,big,low,unacc,1.32362942836086
268,vhigh,med,3,more,big,med,acc,0.4628957474731026
269,vhigh,med,3,more,big,high,acc,1.178910395692482
270,vhigh,med,4,2,small,low,unacc,0.049621400906466384
271,vhigh,med,4,2,small,med,unacc,0.9890127392756378
272,vhigh,med,4,2,small,high,unacc,0.14089428057256503
273,vhigh,med,4,2,med,low,unacc,3.442776917796414
274,vhigh,med,4,2,med,med,unacc,1.6691581354114127
275,vhigh,med,4,2,med,high,unacc,0.06186433098833399
276,vhigh,med,4,2,big,low,unacc,1.1419899995321527
277,vhigh,med,4,2,big,med,unacc,3.9458677143412286
278,vhigh,med,4,2,big,high,unacc,2.262628172972118
279,vhigh,med,4,4,small,low,unacc,3.5642535966608277
280,vhigh,med,4,4,small,med,unacc,2.20380560670504
281,vhigh,med,4,4,small,high,acc,0.3029248363631889
282,vhigh,med,4,4,med,low,unacc,3.7904939735826964
283,vhigh,med,4,4,med,med,acc,2.93306200410605
284,vhigh,med,4,4,med,high,acc,0.17307612825706897
285,vhigh,med,4,4,big,low,unacc,2.9548899897468917
286,vhigh,med,4,4,big,med,acc,3.4087817920038748
287,vhigh,med,4,4,big,high,acc,0.7605200182293337
288,vhigh,med,4,more,small,low,unacc,2.9181084062967826
289,vhigh,med,4,more,small,med,unacc,0.853787970704504
290,vhigh,med,4,more,small,high,acc,0.4967994598159269
291,vhigh,med,4,more,med,low,unacc,1.813705193597671
292,vhigh,med,4,more,med,med,acc,0.5923698116728082
293,vhigh,med,4,more,med,high,acc,3.060896536796446
294,vhigh,med,4,more,big,low,unacc,1.1792284560074426
295,vhigh,med,4,more,big,med,acc,3.310138517244837
296,vhigh,med,4,more,big,high,acc,1.4368903306706127
297,vhigh,med,5more,2,small,low,unacc,2.4093512563830157
298,vhigh,med,5more,2,small,med,unacc,2.8713630921864395
299,vhigh,med,5more,2,small,high,unacc,3.762953910463497
300,vhigh,med,5more,2,med,low,unacc,2.8991589885490407
301,vhigh,med,5more,2,med,med,unacc,1.2493090536367268
302,vhigh,med,5more,2,med,high,unacc,3.9562956368287066
303,vhigh,med,5more,,big,low,unacc,3.299666947253222
304,vhigh,med,5more,2,big,med,unacc,1.1139539737309088
305,vhigh,med,5more,2,big,high,unacc,3.3404988815683208
306,vhigh,med,5more,4,small,low,unacc,2.4624784121316265
307,vhigh,med,5more,4,small,med,unacc,2.8685494701532823
308,vhigh,med,5more,4,small,high,acc,1.056153704399161
309,vhigh,med,5more,4,med,low,unacc,0.021111733489337592
310,vhigh,med,5more,4,med,med,acc,2.9561247859581155
311,vhigh,med,5more,4,med,high,acc,0.8292857100456734
312,vhigh,med,5more,4,big,low,unacc,1.004761474802116
313,vhigh,med,5more,4,big,med,acc,2.453636767391832
314,vhigh,med,5more,4,big,high,acc,0.3490647828271993
315,vhigh,med,5more,more,small,low,unacc,1.3769233652427735
316,vhigh,med,5more,more,small,med,unacc,0.49564311434985964
317,vhigh,med,5more,more,small,high,acc,1.4603100808361917
318,vhigh,med,5more,more,med,low,unacc,3.5014725828838973
319,vhigh,med,5more,more,med,med,acc,1.1358210886855575
320,vhigh,med,5more,more,med,high,acc,1.2061068820138452
321,vhigh,med,5more,more,big,low,unacc,1.3589949143029227
322,vhigh,med,5more,more,big,med,acc,0.09000183921073646
323,vhigh,med,5more,more,big,high,acc,0.47824733369838945
324,vhigh,low,2,2,small,low,unacc,2.187867468493393
325,vhigh,low,2,2,small,med,unacc,1.1037426720182704
326,vhigh,low,2,2,small,high,unacc,1.6740474829640384
327,vhigh,low,2,2,med,low,unacc,3.7707694478451237
328,vhigh,low,2,2,med,med,unacc,2.751576502948198
329,vhigh,low,2,2,med,high,unacc,0.9851410560168059
330,vhigh,low,2,2,big,low,unacc,1.6416801068298903
331,vhigh,low,2,2,big,med,unacc,2.0296853301648343
332,vhigh,,2,2,big,high,unacc,3.3402876355015425
333,vhigh,low,2,4,small,low,unacc,2.7542198956691815
334,vhigh,low,2,4,small,med,unacc,3.789037728600121
335,vhigh,low,2,4,small,high,acc,1.441995235674986
336,vhigh,low,2,4,med,low,unacc,2.8889927866650242
337,vhigh,low,2,4,med,med,unacc,0.5608621868305201
338,vhigh,low,2,4,med,high,acc,3.147246819119814
339,vhigh,low,2,4,big,low,unacc,1.414569008482216
340,vhigh,low,2,4,big,med,acc,2.163995433912645
341,vhigh,low,2,4,big,high,acc,2.808893083637775
342,vhigh,low,2,more,small,low,unacc,1.9959665635461041
343,vhigh,low,2,more,small,med,unacc,1.187525453095248
344,vhigh,low,2,more,small,high,unacc,1.706301126963841
345,vhigh,low,2,more,med,low,unacc,0.8079119634317968
346,vhigh,low,2,more,med,med,unacc,3.5516859156199447
347,vhigh,low,2,more,med,high,acc,2.3125864729396106
348,vhigh,low,2,more,big,low,unacc,2.165620112584911
349,vhigh,low,2,more,big,med,acc,0.12164946807154031
350,vhigh,low,2,more,big,high,acc,2.48688567667281
351,vhigh,low,3,2,small,low,unacc,0.6435087437097105
352,vhigh,low,3,2,small,med,unacc,1.8882250282738196
353,vhigh,low,3,2,small,high,unacc,2.5697870847418094
354,vhigh,low,3,2,med,low,unacc,3.5906292641100186
355,vhigh,low,3,2,med,med,unacc,0.6741796599314775
356,vhigh,low,3,2,med,high,unacc,3.5752772555026384
357,vhigh,low,3,2,big,low,unacc,3.2531764372021685
358,vhigh,low,3,2,big,med,unacc,3.4288970184470475
359,vhigh,low,3,2,big,high,unacc,3.6870614281293204
360,vhigh,low,3,4,small,low,unacc,0.8239783405852839
361,vhigh,low,3,4,small,med,unacc,1.7118920446804093
362,vhigh,low,3,4,small,high,acc,2.587731976207594
363,vhigh,low,3,4,med,low,unacc,2.3830058210240432
364,vhigh,low,3,4,med,med,unacc,3.652778576120989
365,vhigh,low,3,4,med,high,acc,1.3742952778291713
366,vhigh,low,3,4,big,low,unacc,1.443316503343119
367,vhigh,low,3,4,big,med,acc,1.1267555221264627
368,vhigh,low,3,4,big,high,acc,1.557854610397667
369,vhigh,low,3,more,small,low,unacc,3.0566786668757824
370,vhigh,low,3,more,small,med,unacc,3.948503211984123
371,vhigh,low,3,more,small,high,acc,3.0728228917814353
372,vhigh,low,3,more,med,low,unacc,2.469305560169022
373,vhigh,low,3,more,med,med,acc,0.04277903661814264
374,vhigh,low,3,more,med,high,acc,1.3533368675144812
375,vhigh,low,3,more,big,low,unacc,3.308406417749116
376,vhigh,low,3,more,big,med,acc,1.480854040227774
377,vhigh,low,3,more,big,high,acc,3.3443366448085166
378,vhigh,low,4,2,small,low,unacc,0.8983051747855626
379,vhigh,low,4,2,small,med,unacc,1.1967748277957377
380,vhigh,low,4,2,small,high,unacc,1.9043675986555808
381,vhigh,low,4,2,med,low,unacc,1.3601563847124534
382,vhigh,low,4,2,med,med,unacc,3.4142195805828788
383,vhigh,low,4,2,med,high,unacc,0.522157071885784
384,vhigh,low,4,2,big,low,unacc,0.8392222203024478
385,vhigh,low,4,2,big,med,unacc,0.35750781474779947
386,vhigh,low,4,2,big,high,unacc,2.822325979029444
387,vhigh,low,4,4,small,low,unacc,1.805610933076422
388,vhigh,low,4,4,small,med,unacc,1.8782900480420128
389,vhigh,low,4,4,small,high,acc,1.9042120588601046
390,vhigh,low,4,4,med,low,unacc,1.6251118624275485
391,vhigh,low,4,4,med,med,acc,0.43669805863256483
392,vhigh,low,4,4,med,high,acc,3.5121982904053426
393,vhigh,low,4,4,big,low,unacc,2.079961291836334
394,vhigh,low,4,4,big,med,acc,3.1033403662851224
395,vhigh,low,4,4,big,high,acc,1.6531537006083394
396,vhigh,low,4,more,small,low,unacc,2.3892477838822446
397,vhigh,low,4,more,small,med,unacc,3.911078668531494
398,vhigh,low,4,more,small,high,acc,1.8728220499274335
399,vhigh,low,4,more,med,low,unacc,1.8310155805658521
400,vhigh,low,4,more,med,med,acc,2.5967053073848443
401,vhigh,low,4,more,med,high,acc,1.7768474668631136
402,vhigh,low,4,more,big,low,unacc,3.3842897219338828
403,vhigh,low,4,more,big,med,acc,1.9416217074316267
404,vhigh,low,4,more,big,high,acc,3.406821757924777
405,vhigh,low,5more,2,small,low,unacc,2.283137660932258
406,vhigh,low,5more,2,small,med,unacc,2.650938379956976
407,vhigh,low,5more,2,small,high,unacc,3.516807918419748
408,vhigh,low,5more,2,med,low,unacc,0.535303002614278
409,vhigh,low,5more,2,med,med,unacc,3.8560634603896626
410,vhigh,low,5more,2,med,high,unacc,0.6035302035006942
411,vhigh,low,5more,2,big,low,unacc,1.1711549352087878
412,vhigh,low,5more,2,big,med,unacc,0.48365803405037155
413,vhigh,low,5more,2,big,high,unacc,3.272255993342874
414,vhigh,low,5more,4,small,low,unacc,0.5307857445847892
415,vhigh,low,5more,4,small,med,unacc,0.7047298026752595
416,vhigh,low,5more,4,small,high,acc,1.3868238804533912
417,vhigh,low,5more,4,med,low,unacc,2.128356978666445
418,vhigh,low,5more,4,med,med,acc,0.42645934580860523
419,vhigh,low,5more,4,med,high,acc,1.4364301045238923
420,vhigh,low,5more,4,big,low,unacc,0.1136740925893851
421,vhigh,low,5more,4,big,med,acc,0.0010872127148333632
422,vhigh,low,5more,4,big,high,acc,0.5373151291418328
423,vhigh,low,5more,more,small,low,unacc,3.83432562502929
424,vhigh,low,5more,more,small,med,unacc,2.0100310637320273
